vx,vy,r
5.54563,-0.0227827,0.0157588
5.5396,-0.00502283,0.0450782
5.53345,-0.0225769,0.138069
5.52492,-0.0305645,0.0830489
5.51127,-0.0282381,0.0651924
5.50789,-0.0209904,0.0372374
5.51413,-0.0392545,0.0731438
5.52553,-0.0196696,0.136042
5.51662,-0.0137614,0.0696045
5.51928,-0.014627,0.03018
5.55073,-0.00379977,0.0773011
5.54118,-0.00526726,0.0763231
5.51331,-0.0124389,0.1018
5.53741,0.0065915,0.0894115
5.51645,-0.0172757,0.061476
5.52345,0.00786594,0.0495091
5.52826,-0.0135734,0.0693969
5.5432,0.00565285,0.163163
5.58138,0.000443348,0.129771
5.58644,-0.00614938,0.102465
5.59983,0.0128023,0.0502941
5.58986,0.00411641,0.0887485
5.61234,-0.0121164,0.0899475
5.62201,-0.021588,0.0135644
5.61274,-0.0256092,0.0654808
5.61806,-0.0410041,0.0332708
5.63603,-0.0528816,0.105524
5.65374,-0.0567811,0.14697
5.65201,-0.0801603,0.0825754
5.68508,-0.092051,0.118301
5.7003,-0.134118,0.136592
5.70205,-0.134571,0.124911
5.72883,-0.163111,0.102282
5.72442,-0.153857,0.098376
5.74747,-0.195326,0.0383256
5.73891,-0.185601,0.0785204
5.75927,-0.210235,0.065433
5.74504,-0.204318,0.111714
5.72709,-0.243579,0.0690263
5.6708,-0.252012,0.035322
5.62972,-0.279904,0.163505
5.57192,-0.273964,0.0763531
5.49345,-0.283651,0.11924
5.47796,-0.305206,0.071725
5.43683,-0.306574,0.0779431
5.43551,-0.3318,0.0593325
5.39468,-0.363074,0.102658
5.39637,-0.381136,0.0600018
5.38576,-0.387557,0.0848577
5.37345,-0.425198,0.0354521
5.33854,-0.426751,0.141388
5.31742,-0.44221,0.0884097
5.31069,-0.44977,0.146598
5.2849,-0.430756,0.0806708
5.27978,-0.446822,0.0431118
5.26574,-0.441282,0.0992678
5.28013,-0.486101,0.105579
5.27811,-0.476549,0.085629
5.28963,-0.492412,0.0521558
5.28845,-0.480491,0.0322822
5.32539,-0.503901,0.105568
5.34514,-0.508541,0.0344916
5.34171,-0.511109,0.124643
5.35944,-0.510228,0.0958535
5.37369,-0.528078,0.132619
5.39663,-0.510788,0.0904465
5.42426,-0.531318,0.125223
5.43981,-0.53132,0.149389
5.44902,-0.555793,0.0854795
5.46334,-0.549065,0.170478
5.46231,-0.552939,0.209364
5.47646,-0.550771,0.22033
5.4849,-0.554409,0.0601446
5.45836,-0.543888,0.075962
5.4769,-0.532973,0.0504265
5.44565,-0.542466,0.0425708
5.4685,-0.55825,0.0768833
5.48178,-0.532518,0.0612161
5.46753,-0.537397,0.0361275
5.45906,-0.528372,0.0415422
5.46983,-0.534838,0.00962704
5.42911,-0.54005,0.0285075
5.39792,-0.551335,0.0704259
5.39845,-0.524239,0.056802
5.38992,-0.510527,0.0401568
5.36636,-0.518229,0.0444575
5.34455,-0.498307,0.0542464
5.36926,-0.491072,0.108569
5.36171,-0.485807,0.0444157
5.35118,-0.505694,0.0851817
5.36903,-0.481762,0.0898514
5.36225,-0.481662,0.107953
5.37648,-0.507247,0.0986566
5.37449,-0.47439,0.0585764
5.36479,-0.442098,0.0780524
5.38147,-0.469697,0.0798449
5.39767,-0.457622,0.102016
5.40212,-0.43536,0.100252
5.40437,-0.451172,0.138915
5.41437,-0.434934,0.140314
5.41296,-0.45518,0.0994211
5.40279,-0.463232,0.123822
5.40275,-0.451711,0.0218559
5.41442,-0.428046,0.0484604
5.40938,-0.42084,0.0684797
5.40498,-0.419361,0.0398207
5.40194,-0.395408,0.0394564
5.41412,-0.376246,0.0646292
5.4498,-0.375965,0.0156104
5.43858,-0.364711,0.0687356
5.44323,-0.311001,0.0508371
5.48277,-0.333537,0.046383
5.5051,-0.319241,0.0125682
5.52611,-0.329198,0.0539245
5.53196,-0.31599,0.0535293
5.55203,-0.283341,0.0642284
5.57609,-0.286646,0.0385546
5.59955,-0.282488,0.0391259
5.59894,-0.296861,0.0209446
5.60699,-0.277605,0.0603246
5.61625,-0.256678,0.0045585
5.63076,-0.256422,0.059311
5.62362,-0.245659,0.0209865
5.65262,-0.24287,0.0201101
5.63696,-0.232744,0.0155898
5.64524,-0.218505,0.0394965
5.64943,-0.217786,0.0236105
5.64514,-0.203988,0.0589413
5.64946,-0.188594,0.0608128
5.66583,-0.195745,0.0340163
5.66401,-0.176913,0.0355179
5.67832,-0.180146,0.0648989
5.6865,-0.157031,0.0768051
5.69277,-0.158607,0.0695888
5.722,-0.151837,0.035406
5.69733,-0.165281,0.0892366
5.71645,-0.134923,0.0529387
5.68608,-0.160691,0.058574
5.70211,-0.166225,0.0714732
5.68628,-0.162611,0.0869397
5.68017,-0.178592,0.0862121
5.67595,-0.156062,0.103959
5.65555,-0.152891,0.0514954
5.63657,-0.17083,0.0239923
5.63019,-0.161843,0.0341889
5.6314,-0.153404,0.0367189
5.61215,-0.169094,0.0199606
5.60819,-0.1628,0.0197312
5.61292,-0.184702,0.0500968
5.57173,-0.169733,0.0523025
5.57544,-0.188296,0.0311956
5.53986,-0.192962,0.00440757
5.54978,-0.182787,0.0405999
5.53258,-0.193527,0.0787516
5.50967,-0.196775,0.0730159
5.53164,-0.187232,0.0746671
5.49561,-0.215845,0.0761223
5.50507,-0.208574,0.0822444
5.49018,-0.240327,0.065339
5.49313,-0.223518,0.100652
5.52934,-0.231575,0.069735
5.50827,-0.219786,0.0904256
5.52595,-0.228678,0.0613637
5.51726,-0.240478,0.00208066
5.52939,-0.250036,0.0181893
5.54794,-0.240924,0.0523193
5.55623,-0.23622,0.0544504
5.59193,-0.263987,0.0605454
5.57254,-0.262645,0.032755
5.59593,-0.241313,0.0609032
5.58055,-0.264971,0.0489742
5.60966,-0.257734,0.0576386
5.59403,-0.281359,0.052479
5.58479,-0.273361,0.069793
5.60847,-0.275023,0.0568711
5.61936,-0.283888,0.0757332
5.582,-0.275848,0.0718111
5.60528,-0.278797,0.0449248
5.57749,-0.267808,0.0711818
5.56142,-0.271261,0.0842644
5.53068,-0.294409,0.0629264
5.48665,-0.298095,0.0333755
5.41797,-0.278866,0.042785
5.40025,-0.282056,0.0655174
5.38387,-0.25476,0.0309287
5.3704,-0.275147,0.0473607
5.38118,-0.280433,0.0407231
5.37207,-0.298654,0.0552691
5.39106,-0.289605,0.0369001
5.39863,-0.292642,0.0724137
5.40573,-0.28878,0.0750716
5.43723,-0.294314,0.0609232
5.43437,-0.274563,0.041151
5.47928,-0.272102,0.0878918
5.51093,-0.288732,0.0257795
5.51465,-0.28933,0.116594
5.55114,-0.286571,0.0522069
5.57571,-0.293643,0.0723986
5.54212,-0.312338,0.0874315
5.56625,-0.299994,0.0525297
5.59151,-0.29375,0.06978
5.5841,-0.312903,0.0162544
5.55567,-0.295011,0.0372402
5.53794,-0.298225,0.0735674
5.52537,-0.28712,0.0373108
5.5304,-0.274288,0.0662841
5.52765,-0.274242,0.0414278
5.53668,-0.262934,0.0476691
5.53368,-0.270017,0.00567141
5.52843,-0.265966,0.0247651
5.53145,-0.274297,0.0713124
5.55966,-0.28627,0.0784351
5.57546,-0.289674,0.0757391
5.63001,-0.30151,0.119599
5.61642,-0.283919,0.0884096
5.64528,-0.269758,0.0846317
5.64374,-0.282997,0.114136
5.66345,-0.268352,0.0599509
5.67185,-0.286997,0.0595658
5.68589,-0.272946,0.0703923
5.67595,-0.307541,0.0889804
5.63441,-0.290005,0.080749
5.56723,-0.292207,0.0713452
5.52417,-0.269032,0.0736194
5.53804,-0.25822,0.0523747
5.50325,-0.24211,0.077996
5.50409,-0.241679,0.0482192
5.4939,-0.220515,0.0871072
5.51131,-0.2205,0.0680722
5.48511,-0.215967,0.0321923
5.5118,-0.207058,0.024874
5.49667,-0.196957,0.0501037
5.50594,-0.195258,0.153724
5.50428,-0.177802,0.106493
5.50078,-0.194306,0.0807785
5.49443,-0.212436,0.0168097
5.48994,-0.193814,0.0766703
5.50395,-0.177725,0.0978671
5.5238,-0.169762,0.0855872
5.54326,-0.183366,0.0453638
5.57493,-0.188706,0.0168322
5.57544,-0.183563,0.041273
5.60063,-0.180664,0.157051
5.61121,-0.189514,0.0784623
5.62909,-0.196521,0.0413343
5.65258,-0.194126,0.0763884
5.68897,-0.158362,0.0825528
